,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,abu samrah,100.0,SY,1588646229,69.0,35.3,37.18,287.94,0.04
1,tura,0.0,IN,1588646230,48.0,25.52,90.22,302.73,1.88
2,mataura,88.0,NZ,1588646230,82.0,-46.19,168.86,279.13,3.23
3,vallenar,9.0,CL,1588646231,66.0,-28.57,-70.76,287.05,1.03
4,bluff,91.0,NZ,1588646233,66.0,-46.6,168.33,281.0,7.3
5,ushuaia,3.0,AR,1588645688,52.0,-54.8,-68.3,280.15,11.8
6,phalombe,30.0,MW,1588646236,73.0,-15.81,35.65,289.59,1.54
8,brae,99.0,GB,1588646239,75.0,60.4,-1.35,279.15,5.1
9,okhotsk,100.0,RU,1588646239,86.0,59.38,143.3,275.07,2.1
10,iqaluit,75.0,CA,1588646242,61.0,63.75,-68.51,264.15,1.5
11,severo-kurilsk,100.0,RU,1588645711,92.0,50.68,156.12,276.47,10.79
12,jamestown,75.0,US,1588645670,74.0,42.1,-79.24,277.15,7.2
13,ribeira grande,29.0,PT,1588646248,77.0,38.52,-28.7,289.23,10.5
14,punta arenas,0.0,CL,1588645657,80.0,-53.15,-70.92,275.15,3.6
15,vestmannaeyjar,93.0,IS,1588646250,82.0,63.44,-20.27,280.56,11.0
16,busselton,63.0,AU,1588646252,69.0,-33.65,115.33,292.04,10.65
17,kavieng,72.0,PG,1588646254,76.0,-2.57,150.8,302.37,4.06
20,hobart,84.0,AU,1588645666,58.0,-42.88,147.33,287.59,4.1
21,oranjemund,0.0,NA,1588646259,79.0,-28.55,16.43,286.84,3.37
22,amahai,100.0,ID,1588646261,65.0,-3.33,128.92,303.93,1.41
23,rikitea,100.0,PF,1588646262,72.0,-23.12,-134.97,296.1,7.2
24,kasungu,0.0,MW,1588646264,61.0,-13.03,33.48,288.26,3.2
25,chokurdakh,100.0,RU,1588646268,97.0,70.63,147.92,268.69,2.11
26,le port,40.0,RE,1588646272,78.0,-20.94,55.29,297.15,4.6
27,barrow,90.0,US,1588645681,85.0,71.29,-156.79,264.15,4.6
28,sao filipe,13.0,CV,1588646274,71.0,14.9,-24.5,296.83,3.21
30,vaini,20.0,TO,1588646279,74.0,-21.2,-175.2,301.15,3.1
31,chimichagua,100.0,CO,1588646282,93.0,9.26,-73.81,298.45,0.24
32,chapais,90.0,CA,1588646283,54.0,49.78,-74.85,272.15,4.1
33,avarua,0.0,CK,1588646287,78.0,-21.21,-159.78,300.15,3.1
34,valparaiso,91.0,CL,1588646290,52.0,-33.04,-71.63,292.15,4.6
35,codrington,0.0,AU,1588646297,59.0,-38.27,141.97,290.34,5.67
38,chicama,77.0,PE,1588646310,76.0,-7.84,-79.15,294.18,2.64
39,iquitos,20.0,PE,1588646312,94.0,-3.75,-73.25,298.15,0.38
40,umm lajj,100.0,SA,1588646316,52.0,25.02,37.27,298.13,2.55
41,bilma,0.0,NE,1588646318,14.0,18.69,12.92,298.77,6.16
42,khatanga,9.0,RU,1588646320,92.0,71.97,102.5,259.27,6.62
43,hasaki,75.0,JP,1588646326,61.0,35.73,140.83,302.04,3.1
44,nikolskoye,86.0,RU,1588646329,93.0,59.7,30.79,277.04,1.0
45,nkhotakota,31.0,MW,1588646332,61.0,-12.93,34.3,294.39,5.14
47,callaway,20.0,US,1588646337,83.0,30.15,-85.57,296.15,3.6
49,hermanus,24.0,ZA,1588646343,81.0,-34.42,19.23,288.07,3.24
50,bathsheba,40.0,BB,1588646345,74.0,13.22,-59.52,300.15,10.8
52,broken hill,0.0,AU,1588646354,51.0,-31.95,141.43,288.15,2.6
54,staunton,1.0,US,1588646155,62.0,38.15,-79.07,289.15,0.61
